amazon-order-id,merchant-order-id,purchase-date,last-updated-date,order-status,fulfillment-channel,sales-channel,order-channel,url,ship-service-level,product-name,sku,asin,item-status,quantity,currency,item-price,item-tax,shipping-price,shipping-tax,gift-wrap-price,gift-wrap-tax,item-promotion-discount,ship-promotion-discount,ship-city,ship-state,ship-postal-code,ship-country,promotion-ids,is-business-order,purchase-order-number,price-designation,signature-confirmation-recommended
114-7739564-7761805,114-7739564-7761805,2023-05-03T20:11:36+00:00,2023-05-07T20:36:16+00:00,Cancelled,Amazon,Amazon.com,,,SecondDay,"Vital Proteins, Unflavored Collagen Peptides, 20 Ounce",1055675514,B07H85ZDLG,Cancelled,0,,,,,,,,,,HAINES CITY,FL,33844-8375,US,,FALSE,,,FALSE
111-8323471-3413001,111-8323471-3413001,2023-05-03T19:49:54+00:00,2023-05-09T18:13:17+00:00,Shipped,Amazon,Amazon.com,,,SecondDay,"Vital Proteins, Unflavored Collagen Peptides, 20 Ounce",1055675514,B07H85ZDLG,Shipped,2,USD,72.38,4.52,,,,,,,MARLBOROUGH,MA,01752-6107,US,,FALSE,,,FALSE
112-7426364-5781864,112-7426364-5781864,2023-05-03T19:22:32+00:00,2023-05-11T19:22:13+00:00,Shipped,Amazon,Amazon.com,,,SecondDay,"Vital Proteins, Unflavored Collagen Peptides, 20 Ounce",1055675514,B07H85ZDLG,Shipped,1,USD,36.19,,,,,,,,Long Beach,New York,11561,US,,FALSE,,,FALSE
111-2416091-6047411,111-2416091-6047411,2023-05-03T19:08:35+00:00,2023-05-10T04:12:39+00:00,Shipped,Amazon,Amazon.com,,,SecondDay,"Vital Proteins, Unflavored Collagen Peptides, 20 Ounce",1055675514,B07H85ZDLG,Shipped,1,USD,36.19,,,,,,,,MEDFORD,OR,97504-6772,US,,FALSE,,,FALSE
111-9388270-1998623,111-9388270-1998623,2023-05-03T19:03:29+00:00,2023-05-11T19:13:37+00:00,Shipped,Amazon,Amazon.com,,,Standard,"Vital Proteins, Unflavored Collagen Peptides, 20 Ounce",1055675514,B07H85ZDLG,Shipped,2,USD,72.38,,8.26,,,,,8.26,NEW CASTLE,DE,19720-2069,US,US Core Free Shipping Promotion A3JU1FCINF5SD0,FALSE,,,FALSE
112-8646845-6610621,112-8646845-6610621,2023-05-03T18:43:49+00:00,2023-05-10T04:11:52+00:00,Shipped,Amazon,Amazon.com,,,SecondDay,"Vital Proteins, Unflavored Collagen Peptides, 20 Ounce",1055675514,B07H85ZDLG,Shipped,1,USD,36.19,2.93,,,,,,,PEORIA,AZ,85383-5575,US,,FALSE,,,FALSE
113-1412812-7455445,113-1412812-7455445,2023-05-03T18:19:27+00:00,2023-05-09T19:11:57+00:00,Shipped,Amazon,Amazon.com,,,SecondDay,"Vital Proteins, Unflavored Collagen Peptides, 20 Ounce",1055675514,B07H85ZDLG,Shipped,1,USD,36.19,,,,,,,,Litchfield,CT,06759-2822,US,,FALSE,,,FALSE
112-2487626-3521017,112-2487626-3521017,2023-05-03T18:16:03+00:00,2023-05-09T07:10:12+00:00,Shipped,Amazon,Amazon.com,,,SecondDay,"Vital Proteins, Unflavored Collagen Peptides, 20 Ounce",1055675514,B07H85ZDLG,Shipped,1,USD,36.19,2.35,,,,,,,OBERLIN,OH,44074-9787,US,,FALSE,,,FALSE
113-8556140-2974637,113-8556140-2974637,2023-05-03T18:03:45+00:00,2023-05-09T19:00:55+00:00,Shipped,Amazon,Amazon.com,,,Standard,"Vital Proteins, Unflavored Collagen Peptides, 20 Ounce",1055675514,B07H85ZDLG,Shipped,1,USD,36.19,,5.43,,,,,5.43,DERRY,NH,03038-5619,US,US Core Free Shipping Promotion A3JU1FCINF5SD0,FALSE,,,FALSE
114-9149553-0275429,114-9149553-0275429,2023-05-03T17:52:35+00:00,2023-05-08T07:26:43+00:00,Shipped,Amazon,Amazon.com,,,SecondDay,"Vital Proteins, Unflavored Collagen Peptides, 20 Ounce",1055675514,B07H85ZDLG,Shipped,1,USD,36.19,,,,,,,,EGG HARBOR TOWNSHIP,NJ,08234-7506,US,,FALSE,,,FALSE
113-0525852-8665062,113-0525852-8665062,2023-05-03T16:54:41+00:00,2023-05-11T02:52:24+00:00,Shipped,Amazon,Amazon.com,,,SecondDay,"Vital Proteins, Unflavored Collagen Peptides, 20 Ounce",1055675514,B07H85ZDLG,Shipped,1,USD,36.19,2.67,,,,,,,White Bear Lake,Minnesota,55110,US,,FALSE,,,FALSE
113-1723440-9750641,,2023-05-03T16:51:39+00:00,2023-05-04T02:23:35+00:00,Shipped,Merchant,Amazon.com,WebsiteOrderChannel,,Standard,"CeraVe Acne Foaming Cream Cleanser | Acne Treatment Face Wash with 4% Benzoyl Peroxide, Hyaluronic Acid, and Niacinamide | Cream to Foam Formula | Fragrance Free & Non Comedogenic | 5 Oz",4R-1J6E-QJ0N,B07YLJPMC3,Shipped,1,USD,25.95,2.47,,,,,,,CALABASAS,CA,91302-2615,US,,FALSE,,,FALSE
112-7823412-3777848,112-7823412-3777848,2023-05-03T16:44:50+00:00,2023-05-10T02:22:09+00:00,Shipped,Amazon,Amazon.com,,,Standard,"Vital Proteins, Unflavored Collagen Peptides, 20 Ounce",1055675514,B07H85ZDLG,Shipped,1,USD,36.19,2.53,1.03,,,,,1.03,SALISBURY,NC,28144-3256,US,US Core Free Shipping Promotion A3JU1FCINF5SD0,FALSE,,,FALSE
