amazon-order-id,merchant-order-id,purchase-date,last-updated-date,order-status,fulfillment-channel,sales-channel,order-channel,url,ship-service-level,product-name,sku,asin,item-status,quantity,currency,item-price,item-tax,shipping-price,shipping-tax,gift-wrap-price,gift-wrap-tax,item-promotion-discount,ship-promotion-discount,ship-city,ship-state,ship-postal-code,ship-country,promotion-ids,is-business-order,purchase-order-number,price-designation,signature-confirmation-recommended
114-2482056-5384222,114-2482056-5384222,2023-07-01T01:55:05+00:00,2023-07-01T14:29:14+00:00,Shipped,Amazon,Amazon.com,,,Expedited,"Equate (Compare to Halls) Sugar Free Cough Drops, Menthol, 70 Ct - 2 Packs",FR-YJDL-0HK5,B07CMB66XZ,Shipped,1,USD,11.28,,,,,,,,WEEHAWKEN,NJ,07086-6974,US,,FALSE,,,FALSE
112-0546149-8773052,112-0546149-8773052,2023-07-01T01:24:13+00:00,2023-07-01T14:33:16+00:00,Shipped,Amazon,Amazon.com,,,Expedited,"Equate (Compare to Halls) Sugar Free Cough Drops, Menthol, 70 Ct - 2 Packs",FR-YJDL-0HK5,B07CMB66XZ,Shipped,1,USD,11.28,1.07,,,,,,,LOS ANGELES,CA,90046-7126,US,,FALSE,,,FALSE
111-2097048-2673044,,2023-07-01T00:00:43+00:00,2023-07-01T00:03:07+00:00,Cancelled,Merchant,Amazon.com,WebsiteOrderChannel,,Standard,"Member Mark Ultra Dinner Paper Plates (10"", 204 ct.)",YY-N880-MJHX,B08W4K3ZM8,,0,,,,,,,,,,GREEN BAY,WI,54304-4283,US,,FALSE,,,FALSE
114-4844813-9693861,,2023-06-30T21:47:52+00:00,2023-07-07T06:27:10+00:00,Shipped,Merchant,Amazon.com,WebsiteOrderChannel,,Standard,"Member's Mark Paper Cold Cup, 9 oz. (360 ct.)",FT-JIUG-0MUU,B06ZZJZVRK,Shipped,1,USD,26.01,,,,,,,,FORT LEE,NJ,07024-5233,US,,FALSE,,,FALSE
113-5351938-7529019,,2023-06-30T21:01:17+00:00,2023-07-07T06:27:05+00:00,Shipped,Merchant,Amazon.com,WebsiteOrderChannel,,Standard,"Member's Mark Paper Cold Cup, 9 oz. (360 ct.)",FT-JIUG-0MUU,B06ZZJZVRK,Shipped,1,USD,26.01,2.15,,,,,,,SAN ANTONIO,TX,78229-3539,US,,TRUE,,,FALSE
111-5862799-8555455,,2023-06-30T20:53:34+00:00,2023-07-07T06:26:19+00:00,Shipped,Merchant,Amazon.com,WebsiteOrderChannel,,Standard,"Member's Mark Paper Cold Cup, 9 oz. (360 ct.)",FT-JIUG-0MUU,B06ZZJZVRK,Shipped,1,USD,26.01,,,,,,,,REDFORD,MI,48240-2105,US,,TRUE,,,FALSE
114-9244834-8005862,,2023-06-30T19:50:35+00:00,2023-07-07T06:15:57+00:00,Shipped,Merchant,Amazon.com,WebsiteOrderChannel,,Standard,"Member's Mark Paper Cold Cup, 9 oz. (360 ct.)",FT-JIUG-0MUU,B06ZZJZVRK,Shipped,1,USD,26.01,1.56,,,,,,,LOUISVILLE,KY,40220-2701,US,,FALSE,,,FALSE
111-1322088-7271438,,2023-06-30T19:41:26+00:00,2023-07-07T06:16:34+00:00,Shipped,Merchant,Amazon.com,WebsiteOrderChannel,,Standard,"Member's Mark Paper Cold Cup, 9 oz. (360 ct.)",FT-JIUG-0MUU,B06ZZJZVRK,Shipped,2,USD,52.02,4.42,,,,,,,Surprise,AZ,85378,US,,TRUE,6-30-23 SCO,,FALSE
114-8081659-1812256,,2023-06-30T19:33:15+00:00,2023-07-07T06:26:37+00:00,Shipped,Merchant,Amazon.com,WebsiteOrderChannel,,Standard,"Member's Mark Paper Cold Cup, 9 oz. (360 ct.)",FT-JIUG-0MUU,B06ZZJZVRK,Shipped,1,USD,26.01,2.18,,,,,,,OSSINING,NY,10562-2405,US,,FALSE,,,FALSE
112-5736513-5028224,,2023-06-30T19:09:44+00:00,2023-07-07T06:15:59+00:00,Shipped,Merchant,Amazon.com,WebsiteOrderChannel,,Standard,"Member's Mark Paper Cold Cup, 9 oz. (360 ct.)",FT-JIUG-0MUU,B06ZZJZVRK,Shipped,1,USD,26.01,2.24,,,,,,,COMMACK,NY,11725-2506,US,,FALSE,,,FALSE
113-2317175-7086607,,2023-06-30T18:58:34+00:00,2023-07-07T06:16:08+00:00,Shipped,Merchant,Amazon.com,WebsiteOrderChannel,,Standard,"Member's Mark Paper Cold Cup, 9 oz. (360 ct.)",FT-JIUG-0MUU,B06ZZJZVRK,Shipped,1,USD,26.01,2.47,,,,,,,SHERMAN OAKS,CA,91403-1717,US,,TRUE,,,FALSE
114-7081943-4919469,114-7081943-4919469,2023-06-30T18:47:49+00:00,2023-07-01T03:25:45+00:00,Shipped,Amazon,Amazon.com,,,Expedited,Blackstone 2-IN-1 Griddle & Cast Iron Seasoning Conditioner 6.5 OZ- Effective Seasoning Rub Formula - Food Safe - Easy to Use Cleaner & Conditioner -,2G-CW9X-97LV,B0BRBTFXJ5,Shipped,1,USD,19.87,1.19,,,,,,,Melbourne,Kentucky,41059,US,,FALSE,,,FALSE
113-5329290-7172242,,2023-06-30T18:19:53+00:00,2023-07-07T06:15:58+00:00,Shipped,Merchant,Amazon.com,WebsiteOrderChannel,,Standard,"Member's Mark Paper Cold Cup, 9 oz. (360 ct.)",FT-JIUG-0MUU,B06ZZJZVRK,Shipped,2,USD,52.02,4.94,,,,,,,GRAVETTE,AR,72736-8753,US,,FALSE,,,FALSE
111-3791031-7176236,,2023-06-30T18:12:26+00:00,2023-07-07T05:50:26+00:00,Shipped,Merchant,Amazon.com,WebsiteOrderChannel,,Standard,"Member Mark Ultra Dinner Paper Plates (10"", 204 ct.)",YY-N880-MJHX,B08W4K3ZM8,Shipped,2,USD,60,4.66,,,,,,,ATLANTA,GA,30328-8189,US,,TRUE,,,FALSE
111-7168893-8145864,,2023-06-30T17:51:10+00:00,2023-07-07T05:51:44+00:00,Shipped,Merchant,Amazon.com,WebsiteOrderChannel,,Standard,"Member Mark Ultra Dinner Paper Plates (10"", 204 ct.)",YY-N880-MJHX,B08W4K3ZM8,Shipped,1,USD,30,2.1,,,,,,,Pompano Beach,FL,33060-6251,US,,FALSE,,,FALSE
113-6379509-5572260,,2023-06-30T17:19:24+00:00,2023-07-07T06:15:59+00:00,Shipped,Merchant,Amazon.com,WebsiteOrderChannel,USAmazon,Standard,"Member's Mark Paper Cold Cup, 9 oz. (360 ct.)",FT-JIUG-0MUU,B06ZZJZVRK,Shipped,1,USD,26.01,2.02,,,,,,,San Diego,CA,92111,US,,TRUE,7709478-8659404,,FALSE
