amazon-order-id,merchant-order-id,purchase-date,last-updated-date,order-status,fulfillment-channel,sales-channel,order-channel,url,ship-service-level,product-name,sku,asin,item-status,quantity,currency,item-price,item-tax,shipping-price,shipping-tax,gift-wrap-price,gift-wrap-tax,item-promotion-discount,ship-promotion-discount,ship-city,ship-state,ship-postal-code,ship-country,promotion-ids,is-business-order,purchase-order-number,price-designation,signature-confirmation-recommended
111-8658504-9623454,111-8658504-9623454,2023-03-21T03:00:24+00:00,2023-03-21T08:45:19+00:00,Shipped,Amazon,Amazon.com,,,Expedited,"Stanley Quencher H2.0 FlowState Stainless Steel Vacuum Insulated Tumbler with Lid and Straw for Water, Iced Tea or Coffee, Smoothie and More",1055557196,B0BQZCL9KW,Shipped,1,USD,69.5,4.17,,,,,,,LAWRENCEBURG,KY,40342-1196,US,,FALSE,,,FALSE
111-2092424-3039405,111-2092424-3039405,2023-03-21T02:34:06+00:00,2023-03-22T08:37:11+00:00,Shipped,Amazon,Amazon.com,,,Standard,"Stanley Quencher H2.0 FlowState Stainless Steel Vacuum Insulated Tumbler with Lid and Straw for Water, Iced Tea or Coffee, Smoothie and More",1055557196,B0BQZCL9KW,Shipped,1,USD,69.5,5.73,,,,,,,FORT WORTH,TX,76132-3577,US,,FALSE,,,FALSE
111-3541340-7312200,111-3541340-7312200,2023-03-21T02:22:18+00:00,2023-03-25T18:47:34+00:00,Shipped,Amazon,Amazon.com,,,Expedited,"Stanley Quencher H2.0 FlowState Stainless Steel Vacuum Insulated Tumbler with Lid and Straw for Water, Iced Tea or Coffee, Smoothie and More",1055557196,B0BQZCL9KW,Shipped,1,USD,69.5,4.87,,,,,,,MERIDIAN,MS,39301-6603,US,,FALSE,,,FALSE
114-4492738-6773833,114-4492738-6773833,2023-03-21T01:37:24+00:00,2023-03-22T02:26:45+00:00,Shipped,Amazon,Amazon.com,,,Expedited,"Vital Proteins Beauty Collagen Peptides Powder Supplement for Women, 120mg of Hyaluronic Acid - 15g of Collagen Per Serving - Enhance Skin Elasticity",1055865813,B07B6B14NS,Shipped,1,USD,25,2.09,,,,,,,OAKDALE,CA,95361-8684,US,,FALSE,,,FALSE
113-1211646-8041825,113-1211646-8041825,2023-03-21T00:08:40+00:00,2023-03-24T15:42:40+00:00,Shipped,Amazon,Amazon.com,,,SecondDay,"Vital Proteins Collagen Peptides Powder, Helps Support Healthy Hair, Skin, Nails, Bones and Joints - Vanilla 11.5 oz",1055958576,B096YQGYFP,Shipped,1,USD,22.48,,,,,,,,ORANGE PARK,FL,32065-2680,US,,FALSE,,,FALSE
114-2271603-2379423,114-2271603-2379423,2023-03-20T18:59:23+00:00,2023-03-21T06:23:35+00:00,Shipped,Amazon,Amazon.com,,,Expedited,"Vital Proteins Beauty Collagen Peptides Powder Supplement for Women, 120mg of Hyaluronic Acid - 15g of Collagen Per Serving - Enhance Skin Elasticity",1055865813,B07B6B14NS,Shipped,1,USD,25,,,,,,,,HASLET,TX,76052-6821,US,,FALSE,,,FALSE
113-7851676-8373066,113-7851676-8373066,2023-03-20T17:04:10+00:00,2023-03-21T12:23:20+00:00,Shipped,Amazon,Amazon.com,,,Expedited,"Vital Proteins Beauty Collagen Peptides Powder Supplement for Women, 120mg of Hyaluronic Acid - 15g of Collagen Per Serving - Enhance Skin Elasticity",1055865813,B07B6B14NS,Shipped,1,USD,25,,,,,,,,HOUSTON,TEXAS,77095-2256,US,,FALSE,,,FALSE
114-5416998-3831460,114-5416998-3831460,2023-03-20T14:53:43+00:00,2023-03-21T18:36:40+00:00,Shipped,Amazon,Amazon.com,,,Expedited,"Vital Proteins Beauty Collagen Peptides Powder Supplement for Women, 120mg of Hyaluronic Acid - 15g of Collagen Per Serving - Enhance Skin Elasticity",1055865813,B07B6B14NS,Shipped,1,USD,25,1.75,,,,,,,CLARKESVILLE,GEORGIA,30523-4155,US,,FALSE,,,FALSE
111-9116713-2077056,111-9116713-2077056,2023-03-20T12:44:59+00:00,2023-03-22T02:30:37+00:00,Shipped,Amazon,Amazon.com,,,Expedited,"Vital Proteins Beauty Collagen Peptides Powder Supplement for Women, 120mg of Hyaluronic Acid - 15g of Collagen Per Serving - Enhance Skin Elasticity",1055865813,B07B6B14NS,Shipped,1,USD,25,1.58,,,,,,,WADDELL,AZ,85355-4312,US,,FALSE,,,FALSE
113-8526529-8013869,113-8526529-8013869,2023-03-18T23:01:35+00:00,2023-03-19T17:36:35+00:00,Shipped,Amazon,Amazon.com,,,Expedited,"Stanley Quencher H2.0 FlowState Stainless Steel Vacuum Insulated Tumbler with Lid and Straw for Water, Iced Tea or Coffee, Smoothie and More",1056060222,B0BQZBPY2L,Shipped,1,USD,65,5.77,,,,,,,NEW YORK,NY,10014-1572,US,,FALSE,,,FALSE
