amazon-order-id,merchant-order-id,purchase-date,last-updated-date,order-status,fulfillment-channel,sales-channel,order-channel,url,ship-service-level,product-name,sku,asin,item-status,quantity,currency,item-price,item-tax,shipping-price,shipping-tax,gift-wrap-price,gift-wrap-tax,item-promotion-discount,ship-promotion-discount,ship-city,ship-state,ship-postal-code,ship-country,promotion-ids,is-business-order,purchase-order-number,price-designation,signature-confirmation-recommended
113-9619409-7827450,113-9619409-7827450,2023-02-01T01:01:15+00:00,2023-02-08T17:03:07+00:00,Shipped,Amazon,Amazon.com,,http://www.amazon.com,Expedited,Stanley Adventure Quencher Travel Tumbler 40oz Sea Foam,0B-I09Y-9MVX,B09V5R6PP3,Shipped,1,USD,68,,,,,,,,GOODYEAR,AZ,85338,US,,FALSE,,,FALSE
113-9996469-9446626,113-9996469-9446626,2023-02-01T00:43:20+00:00,2023-02-10T00:11:37+00:00,Shipped,Amazon,Amazon.com,,,SecondDay,Stanley Adventure Quencher Travel Tumbler 40oz Sea Foam,0B-I09Y-9MVX,B09V5R6PP3,Shipped,1,USD,68,4.76,,,,,,,BLOOMINGTON,IN,47406-7501,US,,FALSE,,,FALSE
113-7184382-9962651,113-7184382-9962651,2023-02-01T00:30:49+00:00,2023-02-08T17:03:12+00:00,Shipped,Amazon,Amazon.com,,http://www.amazon.com,Standard,Stanley Adventure Quencher Travel Tumbler 40oz Sea Foam,0B-I09Y-9MVX,B09V5R6PP3,Shipped,1,USD,68,,,,,,,,GOODYEAR,AZ,85338,US,,FALSE,,,FALSE
114-2754849-4024259,114-2754849-4024259,2023-01-31T23:52:55+00:00,2023-02-05T20:42:26+00:00,Shipped,Amazon,Amazon.com,,,Standard,Stanley Adventure Quencher Travel Tumbler 40oz Sea Foam,0B-I09Y-9MVX,B09V5R6PP3,Shipped,1,USD,68,6.78,1.74,,,,,1.74,GLENPOOL,OK,74033-3527,US,US Core Free Shipping Promotion A3JU1FCINF5SD0,FALSE,,,FALSE
111-4527324-2657855,111-4527324-2657855,2023-01-31T22:50:19+00:00,2023-02-01T07:52:45+00:00,Shipped,Amazon,Amazon.com,,,Expedited,"Werther's Original Hard Caramel Candy, 12 Oz Bag",BE-ZU5Y-WJQD,B087W3Q5DL,Shipped,1,USD,8.69,,,,,,,,PHILADELPHIA,PA,19136-3103,US,,FALSE,,,FALSE
111-5092332-4962653,111-5092332-4962653,2023-01-31T22:45:51+00:00,2023-02-02T14:29:31+00:00,Shipped,Amazon,Amazon.com,,,Expedited,"Werther's Original Hard Caramel Candy, 12 Oz Bag",BE-ZU5Y-WJQD,B087W3Q5DL,Shipped,2,USD,17.38,,,,,,,,Assonet,MA,02702-1202,US,,FALSE,,,FALSE
112-8524187-1526667,112-8524187-1526667,2023-01-31T22:04:55+00:00,2023-02-01T03:02:12+00:00,Cancelled,Amazon,Amazon.com,,,SecondDay,Stanley Adventure Quencher Travel Tumbler 40oz Sea Foam,0B-I09Y-9MVX,B09V5R6PP3,Cancelled,0,,,,,,,,,,THIBODAUX,LA,70301-4950,US,,FALSE,,,FALSE
114-0338882-3434660,114-0338882-3434660,2023-01-31T21:45:20+00:00,2023-02-01T13:12:07+00:00,Cancelled,Amazon,Amazon.com,,,Standard,"Biotene Mouth Spray, 44.3 mL or 1.5 fl oz",56-T625-6OXA,B00JGD20PA,Cancelled,0,,,,,,,,,,Morovis,Puerto Rico,687,PR,,FALSE,,,FALSE
113-8125688-4170627,113-8125688-4170627,2023-01-31T21:43:02+00:00,2023-01-31T21:44:09+00:00,Cancelled,Amazon,Amazon.com,,http://www.amazon.com,Standard,Stanley Adventure Quencher Travel Tumbler 40oz Sea Foam,0B-I09Y-9MVX,B09V5R6PP3,Cancelled,0,,,,,,,,,,Chantilly,Virginia,20151,US,,FALSE,,,FALSE
112-4968814-7123433,112-4968814-7123433,2023-01-31T21:23:52+00:00,2023-02-01T15:03:08+00:00,Shipped,Amazon,Amazon.com,,,Expedited,"Werther's Original Hard Caramel Candy, 12 Oz Bag",BE-ZU5Y-WJQD,B087W3Q5DL,Shipped,1,USD,8.69,0.63,,,,,,,RALEIGH,NC,27610-2504,US,,FALSE,,,FALSE
113-7385413-6861815,113-7385413-6861815,2023-01-31T20:57:45+00:00,2023-02-08T23:24:13+00:00,Shipped,Amazon,Amazon.com,,http://www.amazon.com,Expedited,Stanley Adventure Quencher Travel Tumbler 40oz Sea Foam,0B-I09Y-9MVX,B09V5R6PP3,Shipped,1,USD,68,,,,,,,,WILMINGTON,DE,19804-2052,US,,FALSE,,,FALSE
113-1433050-5406609,113-1433050-5406609,2023-01-31T20:52:59+00:00,2023-02-01T08:21:06+00:00,Cancelled,Amazon,Amazon.com,,http://www.amazon.com,Standard,Stanley Adventure Quencher Travel Tumbler 40oz Sea Foam,0B-I09Y-9MVX,B09V5R6PP3,Cancelled,0,,,,,,,,,,Chantilly,Virginia,20151,US,,FALSE,,,FALSE
114-4752508-6585023,114-4752508-6585023,2023-01-31T20:14:39+00:00,2023-02-01T18:37:42+00:00,Shipped,Amazon,Amazon.com,,,Expedited,"Biotene Mouth Spray, 44.3 mL or 1.5 fl oz",56-T625-6OXA,B00JGD20PA,Shipped,2,USD,26.68,2.2,,,,,,,BRYAN,TX,77802-6078,US,,FALSE,,,FALSE
114-9368421-9849031,114-9368421-9849031,2023-01-31T20:04:42+00:00,2023-02-01T09:28:43+00:00,Shipped,Amazon,Amazon.com,,,SecondDay,"Lululemon Athletica Everywhere Belt Bag, Black, 7.5 x 5 x 2 inches",UY-CZ82-RUVN,B08V79CRMH,Shipped,1,USD,54,4.73,,,,,,,BLOOMINGTON,IL,61701-6906,US,,FALSE,,,FALSE
113-3475675-4657053,113-3475675-4657053,2023-01-31T19:56:13+00:00,2023-02-09T20:47:30+00:00,Shipped,Amazon,Amazon.com,,http://www.amazon.com,Standard,Stanley Adventure Quencher Travel Tumbler 40oz Sea Foam,0B-I09Y-9MVX,B09V5R6PP3,Shipped,1,USD,68,,,,,,,,Opa-Locka,FL,33054-6324,US,,FALSE,,,FALSE
113-7804500-7585859,113-7804500-7585859,2023-01-31T18:58:29+00:00,2023-02-07T18:39:23+00:00,Shipped,Amazon,Amazon.com,,http://www.amazon.com,SecondDay,Stanley Adventure Quencher Travel Tumbler 40oz Sea Foam,0B-I09Y-9MVX,B09V5R6PP3,Shipped,1,USD,68,,,,,,,,WILMINGTON,DE,19804-2052,US,,FALSE,,,FALSE
113-1915021-3576265,113-1915021-3576265,2023-01-31T18:48:02+00:00,2023-02-08T17:45:26+00:00,Shipped,Amazon,Amazon.com,,http://www.amazon.com,Expedited,Stanley Adventure Quencher Travel Tumbler 40oz Sea Foam,0B-I09Y-9MVX,B09V5R6PP3,Shipped,1,USD,68,,,,,,,,GOODYEAR,AZ,85338,US,,FALSE,,,FALSE
113-3081484-5871428,113-3081484-5871428,2023-01-31T18:24:20+00:00,2023-02-16T16:00:52+00:00,Shipped,Amazon,Amazon.com,,,Standard,"Vital Proteins, Unflavored Collagen Peptides, 20 Ounce",1055675514,B07H85ZDLG,Shipped,3,USD,105.39,7.38,9.32,,,,,9.32,GRIFFIN,GA,30223-5988,US,US Core Free Shipping Promotion A3JU1FCINF5SD0,FALSE,,,FALSE
113-2125513-3964236,113-2125513-3964236,2023-01-31T18:18:17+00:00,2023-02-07T14:56:49+00:00,Shipped,Amazon,Amazon.com,,,SecondDay,Stanley Adventure Quencher Travel Tumbler 40oz Sea Foam,0B-I09Y-9MVX,B09V5R6PP3,Shipped,1,USD,68,3.6,,,,,,,ELKTON,VA,22827-2628,US,,FALSE,,,FALSE
112-8946635-4426617,112-8946635-4426617,2023-01-31T18:03:15+00:00,2023-02-02T06:34:10+00:00,Shipped,Amazon,Amazon.com,,,SecondDay,Stanley Adventure Quencher Travel Tumbler 40oz Cornflower,TF-LI6U-3DEN,B09V5PS6BZ,Shipped,1,USD,82,5.95,,,,,,,CHARLOTTE,NC,28223-0001,US,,FALSE,,,FALSE
113-3045048-1205808,113-3045048-1205808,2023-01-31T18:00:42+00:00,2023-02-14T05:45:11+00:00,Shipped,Amazon,Amazon.com,,http://www.amazon.com,Expedited,Stanley Adventure Quencher Travel Tumbler 40oz Sea Foam,0B-I09Y-9MVX,B09V5R6PP3,Shipped,1,USD,68,,,,,,,,SAINT PETERS,MO,63376-3447,US,,FALSE,,,FALSE
